date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:29	18750/18750	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Feb%202026%2012:35:40%20GMT	https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/index4495.html	(from )
09:30:29	768/768	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Feb%202026%2012:30:28%20GMT	https://subwaygoldbrasil.com/robots.txt		(from )
09:30:29	763/763	---MCZ	200	added ('OK')	text/css	etag:W/%222fb-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/css/stylesheet.css	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/css/stylesheet.css	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:30	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2012:30:29%20GMT	https://fonts.gstatic.com/	C:/Users/dinho/Desktop/teste%20jogo%202/fonts.gstatic.com/index.html	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:30	213/213	---MC-	200	added ('OK')	text/css	date:Fri,%2027%20Feb%202026%2012:30:29%20GMT	https://fonts.googleapis.com/css2?family=Fredoka+One&display=swap	C:/Users/dinho/Desktop/teste%20jogo%202/fonts.googleapis.com/css2d34f.css	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:30	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2012:30:29%20GMT	https://fonts.googleapis.com/	C:/Users/dinho/Desktop/teste%20jogo%202/fonts.googleapis.com/index.html	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:30	17789/17789	---MCZ	200	added ('OK')	application/javascript	etag:W/%22457d-19c807076a0%22	https://subwaygoldbrasil.com/games/play/candy-crush/game-start.js?v=1.1.1	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/game-start3f71.js	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:30	537182/537182	---MCZ	200	added ('OK')	application/javascript	etag:W/%228325e-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/js/custom-phaser.min.js	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/js/custom-phaser.min.js	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:31	772931/772931	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bcb43-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/js/game.min.js?1769317180	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/js/game.min51fc.js	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:31	58344/58344	---M--	200	added ('OK')	font/woff2	etag:W/%22e3e8-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/fonts/ComicSansBold.woff2	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/fonts/ComicSansBold.woff2	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:31	544892/544892	---M--	200	added ('OK')	image/webp	etag:W/%228507c-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/img/banner.webp	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/img/banner.webp	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:32	472268/472268	---M--	200	added ('OK')	image/png	etag:W/%22734cc-19c7f60c3f0%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/bg-clouds.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/bg-clouds.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:32	110749/110749	---M--	200	added ('OK')	image/png	etag:W/%221b09d-19c7f60c3f0%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/candy-button.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/candy-button.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:32	173212/173212	---M--	200	added ('OK')	image/png	etag:W/%222a49c-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/cloud.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/cloud.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
09:30:33	46711/46711	---M--	200	added ('OK')	image/png	etag:W/%22b677-19c7f60c7d8%22	https://subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/pink-bar.png	C:/Users/dinho/Desktop/teste%20jogo%202/subwaygoldbrasil.com/games/play/candy-crush/assets/hd/images/modal/pink-bar.png	(from https://subwaygoldbrasil.com/games/play/candy-crush/index.html?trial=true)
